iter	Passed	Remaining
881	1263	1601
882	1264	1599
883	1266	1598
884	1268	1597
885	1269	1596
886	1271	1595
887	1272	1593
888	1274	1592
889	1275	1591
890	1276	1589
891	1278	1588
892	1279	1586
893	1280	1584
894	1281	1582
895	1283	1581
896	1284	1579
897	1285	1578
898	1287	1576
899	1287	1574
900	1288	1572
901	1289	1569
902	1290	1567
903	1291	1566
904	1292	1564
905	1294	1562
906	1295	1561
907	1297	1560
908	1298	1558
909	1300	1557
910	1301	1555
911	1302	1553
912	1303	1552
913	1304	1550
914	1305	1548
915	1306	1546
916	1308	1545
917	1309	1542
918	1310	1540
919	1311	1539
920	1313	1539
921	1315	1538
922	1316	1536
923	1318	1535
924	1319	1533
925	1320	1532
926	1322	1530
927	1323	1528
928	1324	1527
929	1326	1526
930	1327	1524
931	1329	1523
932	1330	1521
933	1332	1520
934	1333	1518
935	1334	1517
936	1336	1515
937	1337	1513
938	1338	1512
939	1339	1510
940	1341	1509
941	1343	1508
942	1344	1506
943	1345	1505
944	1347	1504
945	1348	1502
946	1349	1500
947	1350	1498
948	1351	1496
949	1352	1495
950	1354	1494
951	1357	1494
952	1359	1493
953	1361	1492
954	1363	1491
955	1364	1490
956	1366	1489
957	1368	1488
958	1430	1553
959	1433	1552
960	1436	1552
961	1441	1555
962	1443	1554
963	1446	1554
964	1448	1553
965	1450	1553
966	1454	1553
967	1456	1552
968	1458	1551
969	1460	1550
970	1461	1549
971	1463	1547
972	1465	1546
973	1469	1548
974	1471	1546
975	1472	1544
976	1473	1543
977	1475	1541
978	1476	1539
979	1477	1538
980	1478	1536
981	1480	1534
982	1481	1532
983	1482	1530
984	1484	1529
985	1485	1527
986	1486	1525
987	1487	1523
988	1488	1521
989	1490	1520
990	1491	1518
991	1492	1516
992	1493	1514
993	1494	1512
994	1495	1510
995	1498	1510
996	1500	1509
997	1501	1507
998	1502	1505
999	1503	1503
1000	1505	1502
1001	1507	1501
1002	1508	1499
1003	1509	1497
1004	1511	1496
1005	1512	1494
1006	1514	1493
1007	1515	1491
1008	1517	1490
1009	1518	1488
1010	1519	1486
1011	1520	1484
1012	1521	1481
1013	1522	1480
1014	1523	1478
1015	1525	1476
1016	1526	1475
1017	1528	1474
1018	1529	1472
1019	1531	1471
1020	1532	1469
1021	1533	1467
1022	1534	1465
1023	1535	1463
1024	1536	1461
1025	1538	1460
1026	1538	1457
1027	1540	1456
1028	1541	1454
1029	1542	1453
1030	1544	1451
1031	1545	1449
1032	1547	1448
1033	1548	1446
1034	1549	1445
1035	1551	1443
1036	1552	1441
1037	1553	1439
1038	1554	1437
1039	1555	1435
1040	1556	1433
1041	1558	1432
1042	1560	1431
1043	1561	1430
1044	1562	1428
1045	1564	1426
1046	1565	1424
1047	1566	1423
1048	1567	1421
1049	1568	1419
1050	1569	1417
1051	1571	1415
1052	1572	1414
1053	1574	1412
1054	1575	1410
1055	1576	1409
1056	1577	1407
1057	1579	1406
1058	1580	1404
1059	1581	1402
1060	1582	1400
1061	1583	1399
1062	1584	1397
1063	1585	1395
1064	1587	1393
1065	1589	1392
1066	1590	1390
1067	1591	1388
1068	1592	1387
1069	1593	1385
1070	1594	1383
1071	1595	1381
1072	1596	1379
1073	1598	1378
1074	1599	1376
1075	1600	1374
1076	1602	1372
1077	1603	1371
1078	1605	1370
1079	1606	1368
1080	1607	1366
1081	1608	1364
1082	1609	1362
1083	1610	1360
1084	1611	1359
1085	1612	1357
1086	1613	1355
1087	1614	1353
1088	1616	1352
1089	1617	1350
1090	1618	1348
1091	1620	1347
1092	1621	1345
1093	1623	1344
1094	1624	1342
1095	1625	1340
1096	1626	1338
1097	1628	1337
1098	1628	1335
1099	1630	1333
1100	1631	1332
1101	1634	1331
1102	1635	1330
1103	1637	1328
1104	1638	1327
1105	1639	1325
1106	1641	1324
1107	1642	1322
1108	1643	1320
1109	1644	1318
1110	1645	1316
1111	1646	1314
1112	1647	1312
1113	1649	1311
1114	1650	1310
1115	1651	1308
1116	1653	1306
1117	1654	1305
1118	1655	1303
1119	1656	1301
1120	1657	1299
1121	1658	1297
1122	1659	1296
1123	1660	1294
1124	1661	1292
1125	1662	1290
1126	1664	1289
1127	1665	1287
1128	1666	1285
1129	1667	1284
1130	1669	1282
1131	1670	1280
1132	1671	1279
1133	1672	1277
1134	1674	1276
1135	1675	1274
1136	1676	1272
1137	1677	1271
1138	1678	1269
1139	1680	1267
1140	1681	1266
1141	1683	1264
1142	1684	1262
1143	1685	1261
1144	1686	1259
1145	1688	1258
1146	1689	1256
1147	1691	1255
1148	1692	1253
1149	1694	1252
1150	1695	1250
1151	1696	1249
1152	1698	1247
1153	1699	1245
1154	1700	1244
1155	1702	1242
1156	1703	1240
1157	1704	1239
1158	1705	1237
1159	1706	1235
1160	1708	1234
1161	1710	1233
1162	1711	1231
1163	1712	1230
1164	1714	1228
1165	1715	1227
1166	1717	1225
1167	1718	1224
1168	1719	1222
1169	1720	1220
1170	1721	1219
1171	1724	1217
1172	1725	1216
1173	1726	1214
1174	1727	1213
1175	1728	1211
1176	1729	1209
1177	1730	1207
1178	1731	1205
1179	1732	1204
1180	1734	1202
1181	1735	1200
1182	1736	1199
1183	1737	1197
1184	1738	1195
1185	1740	1194
1186	1741	1192
1187	1742	1191
1188	1743	1189
1189	1744	1187
1190	1745	1185
1191	1747	1184
1192	1748	1183
1193	1750	1181
1194	1750	1179
1195	1751	1177
1196	1753	1176
1197	1755	1175
1198	1756	1173
1199	1757	1171
1200	1758	1170
1201	1760	1168
1202	1761	1166
1203	1762	1165
1204	1763	1163
1205	1764	1161
1206	1766	1160
1207	1767	1158
1208	1769	1157
1209	1771	1156
1210	1772	1154
1211	1773	1153
1212	1775	1152
1213	1777	1150
1214	1778	1149
1215	1779	1147
1216	1780	1145
1217	1781	1143
1218	1782	1142
1219	1784	1140
1220	1785	1139
1221	1787	1137
1222	1788	1136
1223	1789	1134
1224	1791	1133
1225	1792	1131
1226	1793	1130
1227	1794	1128
1228	1795	1126
1229	1797	1125
1230	1799	1124
1231	1800	1122
1232	1801	1120
1233	1803	1119
1234	1804	1117
1235	1805	1116
1236	1806	1114
1237	1807	1112
1238	1808	1110
1239	1810	1109
1240	1811	1107
1241	1812	1106
1242	1813	1104
1243	1815	1103
1244	1816	1101
1245	1817	1099
1246	1819	1098
1247	1820	1096
1248	1821	1095
1249	1822	1093
1250	1823	1091
1251	1824	1090
1252	1825	1088
1253	1826	1086
1254	1828	1085
1255	1829	1083
1256	1831	1082
1257	1832	1080
1258	1833	1079
1259	1834	1077
1260	1835	1075
1261	1836	1074
1262	1837	1072
1263	1840	1071
1264	1841	1070
1265	1842	1068
1266	1844	1066
1267	1845	1065
1268	1847	1064
1269	1848	1062
1270	1849	1060
1271	1851	1059
1272	1852	1057
1273	1853	1056
1274	1854	1054
1275	1855	1052
